ilkid,firstname,lastname,leag,Season_Effic,Season_FG_rate,Season_FT_rate,Season_PTS_rate,Playoffs_Effic,Playoffs_FG_rate,Playoffs_FT_rate,Playoffs_PTS_rate
GREENSE01,Sean,Green,N,2.4166666666666665,0.38636363636363635,0.62,0.5245901639344263,0.0,0.0,0.0,0.0
GREENSI01,Si,Green,N,5.910714285714286,0.3865208658781522,0.6755043227665706,0.35303076454462384,7.341463414634147,0.43333333333333335,0.6129032258064516,0.34923492349234925
GREENSI02,Sidney,Green,N,9.739322533136965,0.4544003647970816,0.738014854827819,0.38348305276666417,4.790697674418604,0.42962962962962964,0.6538461538461539,0.2964426877470356
GREENWI01,Willie,Green,N,5.0636363636363635,0.382051282051282,0.7572815533980582,0.43722707423580787,5.4,0.4444444444444444,0.9,0.42857142857142855
GREERHA01,Hal,Greer,N,13.083778966131907,0.4520759130296103,0.8007696344236488,0.5425253845380517,13.141304347826088,0.42546771273385636,0.8118466898954704,0.5149601976393082
GREGOGA01,Gary,Gregor,A,3.445945945945946,0.4658385093167702,0.8070175438596491,0.35040160642570284,-1.0,0.16666666666666666,1.0,0.3333333333333333
GREGOGA01,Gary,Gregor,N,5.2404181184668985,0.43222942983953566,0.7148760330578512,0.3937611164317964,0.14285714285714285,0.2857142857142857,0.6666666666666666,0.23880597014925373
GREVEKE01,Kevin,Grevey,N,8.770833333333334,0.4370314842578711,0.8165784832451499,0.4830119375573921,6.771428571428571,0.42005420054200543,0.7839195979899497,0.48307692307692307
GRIFFAD01,Adrian,Griffin,N,7.023809523809524,0.43032490974729243,0.7652733118971061,0.2526890899778043,5.583333333333333,0.4827586206896552,0.6666666666666666,0.33211678832116787
GRIFFDA01,Darrell,Griffith,N,12.334640522875818,0.46324635117204777,0.7072921978582356,0.5789375321216652,12.027027027027026,0.4384920634920635,0.711340206185567,0.5366088631984586
GRIFFGR01,Greg,Griffin,N,3.5555555555555554,0.3609467455621302,0.6388888888888888,0.34360189573459715,3.5,0.42857142857142855,0.0,0.24
GRIFFPA01,Paul,Griffin,N,10.541666666666666,0.5051297525648762,0.6921692169216922,0.24301203620809708,11.5,0.5526315789473685,0.5769230769230769,0.2261904761904762
GROSSBO01,Bob,Gross,N,12.791423001949317,0.5117112152108019,0.7984934086629002,0.36318091451292245,12.28,0.583732057416268,0.8513513513513513,0.4423631123919308
GROZAAL01,Alex,Groza,N,14.076923076923077,0.47425093632958804,0.7560975609756098,0.0,18.11111111111111,0.54421768707483,0.8043478260869565,0.0
GRUNFER01,Ernie,Grunfeld,N,8.0995670995671,0.4771256931608133,0.7700320512820513,0.3967172499225767,9.595238095238095,0.4882943143812709,0.826530612244898,0.3972457627118644
GUARIGE01,Gene,Guarilia,N,0.937984496124031,0.37583892617449666,0.6111111111111112,0.38170055452865065,0.08333333333333333,0.23076923076923078,0.7272727272727273,0.29850746268656714
GUDMUPE01,Petur,Gudmundsson,N,6.84,0.4940944881889764,0.753968253968254,0.33640776699029123,3.4285714285714284,0.5517241379310345,0.6666666666666666,0.358974358974359
GUERIRI01,Richie,Guerin,N,12.25117924528302,0.41554895189141433,0.7799603532167958,0.5346642864949542,12.214285714285714,0.42857142857142855,0.803347280334728,0.4862453531598513
GUGLITO01,Tom,Gugliotta,N,15.887287024901704,0.450955265610438,0.7568093385214008,0.4200271669921046,10.416666666666666,0.39316239316239315,0.6896551724137931,0.34328358208955223
GUIDIJA01,Jay,Guidinger,N,2.296875,0.40229885057471265,0.6086956521739131,0.2832369942196532,-0.5,0.3333333333333333,0.0,0.13333333333333333
GUOKAAL01,Al,Guokas,N,1.4210526315789473,0.3110367892976589,0.56,0.0,2.5,0.5,0.3333333333333333,0.0
GUOKAMA01,Matt,Guokas,N,6.536054421768707,0.48894952251023194,0.7271784232365145,0.2580858880925134,3.176470588235294,0.40875912408759124,0.775,0.22448979591836735
HAGANCL01,Cliff,Hagan,A,9.797872340425531,0.495635305528613,0.806841046277666,0.6073410157917201,8.0,0.37254901960784315,0.7391304347826086,0.4782608695652174
HAGANCL01,Cliff,Hagan,N,11.46979865771812,0.4504729148753224,0.7976894142933907,0.6187934287423497,13.2,0.4540155440414508,0.8,0.6185497470489039
HAIRSHA01,Happy,Hairston,N,11.876288659793815,0.47790802524797116,0.741421568627451,0.47287299630086316,6.826086956521739,0.4449275362318841,0.7333333333333333,0.39653465346534655
HAISLMA01,Marcus,Haislip,N,3.278481012658228,0.4339622641509434,0.6753246753246753,0.3530864197530864,5.666666666666667,0.7142857142857143,0.5,0.4444444444444444
HALBECH01,Chuck,Halbert,N,2.066006600660066,0.3137931034482759,0.6331845238095238,0.0,4.5,0.4375,0.5555555555555556,0.0
HALBRHA01,Harvey,Halbrook,N,1.06993006993007,0.34689265536723163,0.5910652920962199,0.3854830799411476,2.5,0.3333333333333333,0.7,0.36046511627906974
HALEBR01,Bruce,Hale,N,4.957746478873239,0.3328335832083958,0.7630597014925373,0.0,4.571428571428571,0.35,0.8823529411764706,0.0
HALEHA01,Hal,Hale,A,1.5277777777777777,0.32598039215686275,0.6741573033707865,0.2116060961313013,4.0,0.375,1.0,0.18446601941747573
HALEYJA01,Jack,Haley,N,3.8797653958944283,0.4246575342465753,0.6554621848739496,0.3588807785888078,1.7857142857142858,0.36363636363636365,0.7,0.5348837209302325
HALIMSH01,Shaler,Halimon,A,2.164705882352941,0.4108352144469526,0.6910569105691057,0.3985828166519043,4.5,0.5294117647058824,0.5714285714285714,0.4
HALIMSH01,Shaler,Halimon,N,3.544378698224852,0.3965658217497956,0.6217228464419475,0.45097260817784834,3.6666666666666665,0.3492063492063492,0.6666666666666666,0.42592592592592593
HALLIJE01,Jeff,Halliburton,N,3.9130434782608696,0.44045368620037806,0.8135593220338984,0.5227906976744187,-1.0,0.0,0.0,0.0
